mapTarget,mapTargetName
T14.90X?,"Injury, unspecified, episode of care unspecified"
O28.0,Abnormal hematological finding on antenatal screening of mother
P00.89,Newborn affected by other maternal conditions
O99.419,"Diseases of the circulatory system complicating pregnancy, unspecified trimester"
I99.9,Unspecified disorder of circulatory system
P74.8,Other transitory metabolic disturbances of newborn
P00.4,Newborn affected by maternal nutritional disorders
O99.280,"Endocrine, nutritional and metabolic diseases complicating pregnancy, unspecified trimester"
E66.3,Overweight
O99.210,"Obesity complicating pregnancy, unspecified trimester"
E66.9,"Obesity, unspecified"
S88.112?,"Complete traumatic amputation at level between knee and ankle, left lower leg, episode of care unspecified"
S88.111?,"Complete traumatic amputation at level between knee and ankle, right lower leg, episode of care unspecified"
E63.9,"Nutritional deficiency, unspecified"
M99.04,Segmental and somatic dysfunction of sacral region
P25.8,Other conditions related to interstitial emphysema originating in the perinatal period
J43.9,"Emphysema, unspecified"
K11.7,Disturbances of salivary secretion
R61,Generalized hyperhidrosis
D55.0,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
I48.0,Paroxysmal atrial fibrillation
O12.20,"Gestational edema with proteinuria, unspecified trimester"
P01.8,Newborn affected by other maternal complications of pregnancy
M26.03,Mandibular hyperplasia
M27.8,Other specified diseases of jaws
J98.6,Disorders of diaphragm
H90.41,"Sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side"
H90.42,"Sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side"
G12.20,"Motor neuron disease, unspecified"
H51.8,Other specified disorders of binocular movement
R94.138,Abnormal results of other function studies of peripheral nervous system
H55.00,Unspecified nystagmus
Q53.20,"Undescended testicle, unspecified, bilateral"
Q53.211,Bilateral intraabdominal testes
Q53.10,"Unspecified undescended testicle, unilateral"
C11.9,"Malignant neoplasm of nasopharynx, unspecified"
H35.52,Pigmentary retinal dystrophy
Q89.4,Conjoined twins
P02.69,Newborn affected by other conditions of umbilical cord
A52.72,Syphilis of lung and bronchus
E84.8,Cystic fibrosis with other manifestations
K74.60,Unspecified cirrhosis of liver
Q70.03,"Fused fingers, bilateral"
D14.2,Benign neoplasm of trachea
D14.30,Benign neoplasm of unspecified bronchus and lung
A31.0,Pulmonary mycobacterial infection
D69.0,Allergic purpura
J98.4,Other disorders of lung
J36,Peritonsillar abscess
I27.29,Other secondary pulmonary hypertension
Q26.8,Other congenital malformations of great veins
Q89.9,"Congenital malformation, unspecified"
Q04.0,Congenital malformations of corpus callosum
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses
J15.8,Pneumonia due to other specified bacteria
D49.2,"Neoplasm of unspecified behavior of bone, soft tissue, and skin"
H68.009,"Unspecified Eustachian salpingitis, unspecified ear"
H68.109,"Unspecified obstruction of Eustachian tube, unspecified ear"
Q27.8,Other specified congenital malformations of peripheral vascular system
G23.2,Striatonigral degeneration
Q27.0,Congenital absence and hypoplasia of umbilical artery
H81.90,"Unspecified disorder of vestibular function, unspecified ear"
I67.9,"Cerebrovascular disease, unspecified"
F40.8,Other phobic anxiety disorders
F40.9,"Phobic anxiety disorder, unspecified"
J84.89,Other specified interstitial pulmonary diseases
H71.90,"Unspecified cholesteatoma, unspecified ear"
Q85.01,"Neurofibromatosis, type 1"
C11.1,Malignant neoplasm of posterior wall of nasopharynx
Q33.6,Congenital hypoplasia and dysplasia of lung
D18.00,Hemangioma unspecified site
D18.09,Hemangioma of other sites
Q89.8,Other specified congenital malformations
C11.0,Malignant neoplasm of superior wall of nasopharynx
H81.10,"Benign paroxysmal vertigo, unspecified ear"
C11.3,Malignant neoplasm of anterior wall of nasopharynx
C11.2,Malignant neoplasm of lateral wall of nasopharynx
C11.8,Malignant neoplasm of overlapping sites of nasopharynx
S78.112?,"Complete traumatic amputation at level between left hip and knee, episode of care unspecified"
S78.111?,"Complete traumatic amputation at level between right hip and knee, episode of care unspecified"
S58.112?,"Complete traumatic amputation at level between elbow and wrist, left arm, episode of care unspecified"
S58.912?,"Complete traumatic amputation of left forearm, level unspecified, episode of care unspecified"
S58.111?,"Complete traumatic amputation at level between elbow and wrist, right arm, episode of care unspecified"
S58.911?,"Complete traumatic amputation of right forearm, level unspecified, episode of care unspecified"
Q72.63,"Longitudinal reduction defect of fibula, bilateral"
P09.9,"Abnormal findings on neonatal screening, unspecified"
G71.09,Other specified muscular dystrophies
I74.2,Embolism and thrombosis of arteries of the upper extremities
I74.3,Embolism and thrombosis of arteries of the lower extremities
Z96.0,Presence of urogenital implants
J09.X2,Influenza due to identified novel influenza A virus with other respiratory manifestations
N97.9,"Female infertility, unspecified"
S11.80X?,"Unspecified open wound of other specified part of neck, episode of care unspecified"
L71.9,"Rosacea, unspecified"
L71.8,Other rosacea
H10.829,"Rosacea conjunctivitis, unspecified eye"
H10.509,"Unspecified blepharoconjunctivitis, unspecified eye"
I42.9,"Cardiomyopathy, unspecified"
S45.101?,"Unspecified injury of brachial artery, right side, episode of care unspecified"
S45.102?,"Unspecified injury of brachial artery, left side, episode of care unspecified"
S45.109?,"Unspecified injury of brachial artery, unspecified side, episode of care unspecified"
I77.2,Rupture of artery
S45.111?,"Laceration of brachial artery, right side, episode of care unspecified"
S45.112?,"Laceration of brachial artery, left side, episode of care unspecified"
S45.119?,"Laceration of brachial artery, unspecified side, episode of care unspecified"
S41.109?,"Unspecified open wound of unspecified upper arm, episode of care unspecified"
P28.32,Primary obstructive sleep apnea of newborn
G47.33,Obstructive sleep apnea (adult) (pediatric)
J96.02,Acute respiratory failure with hypercapnia
T30.0,"Burn of unspecified body region, unspecified degree"
D16.10,Benign neoplasm of short bones of unspecified upper limb
D16.9,"Benign neoplasm of bone and articular cartilage, unspecified"
T65.91X?,"Toxic effect of unspecified substance, accidental (unintentional), episode of care unspecified"
T20.13X?,"Burn of first degree of chin, episode of care unspecified"
T20.53X?,"Corrosion of first degree of chin, episode of care unspecified"
C40.20,Malignant neoplasm of long bones of unspecified lower limb
D75.89,Other specified diseases of blood and blood-forming organs
Z56.89,Other problems related to employment
J84.10,"Pulmonary fibrosis, unspecified"
M89.8X9,"Other specified disorders of bone, unspecified site"
G20,Parkinson's disease
F02.80,"Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
G56.80,Other specified mononeuropathies of unspecified upper limb
B34.9,"Viral infection, unspecified"
P81.9,"Disturbance of temperature regulation of newborn, unspecified"
R50.9,"Fever, unspecified"
Z39.2,Encounter for routine postpartum follow-up
D65,Disseminated intravascular coagulation [defibrination syndrome]
Q65.1,"Congenital dislocation of hip, bilateral"
Q68.8,Other specified congenital musculoskeletal deformities
R62.52,Short stature (child)
Q67.5,Congenital deformity of spine
Q66.70,"Congenital pes cavus, unspecified foot"
R22.2,"Localized swelling, mass and lump, trunk"
C71.3,Malignant neoplasm of parietal lobe
C75.1,Malignant neoplasm of pituitary gland
C71.0,"Malignant neoplasm of cerebrum, except lobes and ventricles"
G57.91,Unspecified mononeuropathy of right lower limb
G57.92,Unspecified mononeuropathy of left lower limb
T81.89X?,"Other complications of procedures, not elsewhere classified, episode of care unspecified"
D36.13,"Benign neoplasm of peripheral nerves and autonomic nervous system of lower limb, including hip"
G56.92,Unspecified mononeuropathy of left upper limb
G56.91,Unspecified mononeuropathy of right upper limb
D36.12,"Benign neoplasm of peripheral nerves and autonomic nervous system, upper limb, including shoulder"
I44.2,"Atrioventricular block, complete"
I49.49,Other premature depolarization
L60.8,Other nail disorders
E70.329,"Oculocutaneous albinism, unspecified"
Q84.1,"Congenital morphological disturbances of hair, not elsewhere classified"
F03.918,"Unspecified dementia, unspecified severity, with other behavioral disturbance"
I77.6,"Arteritis, unspecified"
J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapors"
T59.91X?,"Toxic effect of unspecified gases, fumes and vapors, accidental (unintentional), episode of care unspecified"
Z91.89,"Other specified personal risk factors, not elsewhere classified"
U07.1,COVID-19
Q92.7,Triploidy and polyploidy
E83.19,Other disorders of iron metabolism
K83.09,Other cholangitis
M86.149,"Other acute osteomyelitis, unspecified hand"
M00.80,"Arthritis due to other bacteria, unspecified joint"
B96.5,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
A54.23,Gonococcal infection of other male genital organs
N45.2,Orchitis
M91.0,Juvenile osteochondrosis of pelvis
A93.8,Other specified arthropod-borne viral fevers
A85.8,Other specified viral encephalitis
A98.0,Crimean-Congo hemorrhagic fever
B33.8,Other specified viral diseases
N50.89,Other specified disorders of the male genital organs
L26,Exfoliative dermatitis
D53.1,"Other megaloblastic anemias, not elsewhere classified"
Z95.828,Presence of other vascular implants and grafts
F32.89,Other specified depressive episodes
O99.892,Other specified diseases and conditions complicating childbirth
O99.893,Other specified diseases and conditions complicating puerperium
H57.89,Other specified disorders of eye and adnexa
Z63.79,Other stressful life events affecting family and household
O70.20,"Third degree perineal laceration during delivery, unspecified"
Z37.9,"Outcome of delivery, unspecified"
Z86.69,Personal history of other diseases of the nervous system and sense organs
Z87.828,Personal history of other (healed) physical injury and trauma
T63.791?,"Toxic effect of contact with other venomous plant, accidental (unintentional), episode of care unspecified"
A60.01,Herpesviral infection of penis
M89.20,"Other disorders of bone development and growth, unspecified site"
R71.8,Other abnormality of red blood cells
P28.40,Unspecified apnea of newborn
R06.81,"Apnea, not elsewhere classified"
O09.819,"Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester"
N81.10,"Cystocele, unspecified"
K51.30,Ulcerative (chronic) rectosigmoiditis without complications
K51.20,Ulcerative (chronic) proctitis without complications
N32.89,Other specified disorders of bladder
H83.8X3,"Other specified diseases of inner ear, bilateral"
H83.8X1,Other specified diseases of right inner ear
T53.3X1?,"Toxic effect of tetrachloroethylene, accidental (unintentional), episode of care unspecified"
J18.9,"Pneumonia, unspecified organism"
K13.79,Other lesions of oral mucosa
X36.1XX?,"Avalanche, landslide, or mudslide, episode of care unspecified"
Z77.118,Contact with and (suspected) exposure to other environmental pollution
W42.9XX?,"Exposure to other noise, episode of care unspecified"
Z77.110,Contact with and (suspected) exposure to air pollution
Z77.111,Contact with and (suspected) exposure to water pollution
Z77.112,Contact with and (suspected) exposure to soil pollution
Z77.011,Contact with and (suspected) exposure to lead
Z77.9,Other contact with and (suspected) exposures hazardous to health
Z57.39,Occupational exposure to other air contaminants
Z57.8,Occupational exposure to other risk factors
Z57.4,Occupational exposure to toxic agents in agriculture
Z57.5,Occupational exposure to toxic agents in other industries
Z77.098,"Contact with and (suspected) exposure to other hazardous, chiefly nonmedicinal, chemicals"
Z57.2,Occupational exposure to dust
M80.00X?,"Age-related osteoporosis with current pathological fracture, unspecified site, episode of care unspecified"
M81.0,Age-related osteoporosis without current pathological fracture
N95.8,Other specified menopausal and perimenopausal disorders
G24.02,Drug induced acute dystonia
G24.01,Drug induced subacute dyskinesia
G24.09,Other drug induced dystonia
T43.505?,"Adverse effect of unspecified antipsychotics and neuroleptics, episode of care unspecified"
A36.86,Diphtheritic conjunctivitis
E06.0,Acute thyroiditis
T74.12X?,"Child physical abuse, confirmed, episode of care unspecified"
T74.4XX?,"Shaken infant syndrome, episode of care unspecified"
Y07.9,Unspecified perpetrator of maltreatment and neglect
Z78.9,Other specified health status
Z76.89,Persons encountering health services in other specified circumstances
R52,"Pain, unspecified"
G89.29,Other chronic pain
R29.898,Other symptoms and signs involving the musculoskeletal system
R69,"Illness, unspecified"
R68.89,Other general symptoms and signs
R53.2,Functional quadriplegia
F43.9,"Reaction to severe stress, unspecified"
R45.89,Other symptoms and signs involving emotional state
R46.89,Other symptoms and signs involving appearance and behavior
R46.81,Obsessive-compulsive behavior
M62.89,Other specified disorders of muscle
G47.62,Sleep related leg cramps
R25.2,Cramp and spasm
M85.89,"Other specified disorders of bone density and structure, multiple sites"
M54.2,Cervicalgia
M79.603,"Pain in arm, unspecified"
I73.9,"Peripheral vascular disease, unspecified"
R60.0,Localized edema
R27.8,Other lack of coordination
R26.2,"Difficulty in walking, not elsewhere classified"
G83.10,Monoplegia of lower limb affecting unspecified side
M25.659,"Stiffness of unspecified hip, not elsewhere classified"
R10.32,Left lower quadrant pain
R10.31,Right lower quadrant pain
R10.2,Pelvic and perineal pain
Q82.0,Hereditary lymphedema
Q28.2,Arteriovenous malformation of cerebral vessels
R06.09,Other forms of dyspnea
J98.01,Acute bronchospasm
R05.9,"Cough, unspecified"
J98.8,Other specified respiratory disorders
R09.89,Other specified symptoms and signs involving the circulatory and respiratory systems
R01.2,Other cardiac sounds
M54.6,Pain in thoracic spine
G89.12,Acute post-thoracotomy pain
R07.89,Other chest pain
R00.2,Palpitations
R07.81,Pleurodynia
R94.31,Abnormal electrocardiogram [ECG] [EKG]
R23.1,Pallor
R23.8,Other skin changes
N85.9,"Noninflammatory disorder of uterus, unspecified"
R20.0,Anesthesia of skin
R20.8,Other disturbances of skin sensation
L82.1,Other seborrheic keratosis
R63.8,Other symptoms and signs concerning food and fluid intake
R63.2,Polyphagia
R63.39,Other feeding difficulties
A02.9,"Salmonella infection, unspecified"
R10.13,Epigastric pain
R10.9,Unspecified abdominal pain
R10.84,Generalized abdominal pain
R10.10,"Upper abdominal pain, unspecified"
J39.2,Other diseases of pharynx
J35.8,Other chronic diseases of tonsils and adenoids
R12,Heartburn
R07.2,Precordial pain
K22.89,Other specified disease of esophagus
E11.621,Type 2 diabetes mellitus with foot ulcer
E11.622,Type 2 diabetes mellitus with other skin ulcer
L97.501,Non-pressure chronic ulcer of other part of unspecified foot limited to breakdown of skin
L97.309,Non-pressure chronic ulcer of unspecified ankle with unspecified severity
